,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
89,Poum,100,NC,1644773033,76,-20.2333,164.0167,81.48,14.47
90,New Norfolk,89,AU,1644773034,59,-42.7826,147.0587,63.9,2.46
91,Nha Trang,44,VN,1644773034,88,12.25,109.1833,77.0,5.37
92,Saint George,0,US,1644773034,26,37.1041,-113.5841,58.53,0.0
93,Lagoa,84,PT,1644773035,64,39.05,-27.9833,57.49,7.36
94,Xihe,4,CN,1644773035,83,31.6864,113.4659,39.78,4.07
95,Pangody,99,RU,1644773035,96,65.85,74.4859,-14.22,8.55
96,Flinders,86,AU,1644772748,80,-34.5833,150.8552,66.38,5.01
97,Kapit,94,MY,1644773036,96,2.0167,112.9333,74.79,1.01
98,Burgeo,99,CA,1644773036,66,47.6167,-57.6152,30.67,20.15
99,Tiksi,98,RU,1644773036,94,71.6872,128.8694,-13.18,11.45
100,Cherskiy,99,RU,1644773037,98,68.75,161.3,-18.04,7.99
101,Salalah,0,OM,1644773037,69,17.0151,54.0924,75.29,2.3
102,Chui,2,UY,1644773037,38,-33.6971,-53.4616,73.4,12.73
103,Hithadhoo,94,MV,1644773038,76,-0.6,73.0833,82.29,12.41
104,Krasnosel'kup,7,RU,1644773038,90,65.7,82.4667,-2.87,12.39
105,Aklavik,75,CA,1644773038,68,68.2191,-135.0107,-22.97,2.3
106,Derzhavīnsk,97,KZ,1644772949,99,51.1,66.3167,5.52,5.41
107,Mount Isa,68,AU,1644773039,94,-20.7333,139.5,73.17,1.14
108,Mar del Plata,0,AR,1644773039,63,-38.0023,-57.5575,68.02,12.66
109,Alice Springs,0,AU,1644773039,67,-23.7,133.8833,62.15,5.75
110,Lebu,95,CL,1644773039,66,-37.6167,-73.65,67.1,11.43
111,Fort Nelson,75,CA,1644773040,77,58.8053,-122.7002,-4.41,3.44
112,Ancud,5,CL,1644773040,73,-41.8697,-73.8203,84.22,7.7
113,Kushmurun,100,KZ,1644773040,96,52.4503,64.6311,9.1,5.97
114,Port Blair,20,IN,1644773041,83,11.6667,92.75,75.24,3.44
115,Tulun,77,RU,1644773041,100,54.5611,100.5792,-28.79,1.9
116,Mount Gambier,100,AU,1644773041,88,-37.8333,140.7667,62.51,10.36
117,Atripalda,31,IT,1644773042,99,40.9158,14.8246,52.23,1.16
118,Tuktoyaktuk,20,CA,1644773042,74,69.4541,-133.0374,-34.6,3.44
119,Klaksvík,100,FO,1644773042,70,62.2266,-6.589,34.72,33.29
120,Henties Bay,13,NA,1644773043,78,-22.116,14.2845,74.86,7.45
121,Gracias,69,HN,1644773043,71,14.5833,-88.5833,80.62,7.23
122,Fountain Hills,0,US,1644772851,17,33.6117,-111.7174,70.27,11.5
123,Cabedelo,3,BR,1644773043,65,-6.9811,-34.8339,88.47,10.58
124,Bengkulu,100,ID,1644773044,87,-3.8004,102.2655,77.18,4.03
125,Thompson,100,CA,1644773044,70,55.7435,-97.8558,-9.24,4.61
126,Polyarny,97,RU,1644773044,70,69.1989,33.4478,9.07,10.69
127,Kropotkin,5,RU,1644773045,71,45.4375,40.5756,34.52,6.15
128,Lakes Entrance,100,AU,1644773045,68,-37.8811,147.981,69.17,4.83
129,Fort-Shevchenko,41,KZ,1644773045,68,44.5086,50.263,36.57,15.57
130,Hasaki,100,JP,1644773046,96,35.7333,140.8333,36.28,35.14
131,Biak,100,ID,1644773046,87,-0.9131,122.8766,74.46,3.02
132,Ilulissat,75,GL,1644773046,58,69.2167,-51.1,19.42,18.41
133,Iqaluit,75,CA,1644773047,75,63.7506,-68.5145,-20.31,2.3
134,Nanortalik,100,GL,1644772872,81,60.1432,-45.2371,29.1,11.61
135,Grand Baie,100,MU,1644772867,77,-20.0182,57.5802,82.45,5.99
136,Inuvik,40,CA,1644773047,76,68.3499,-133.7218,-22.94,3.44
137,Takoradze,54,GH,1644772846,71,4.8845,-1.7554,83.61,13.89
138,Jamestown,100,US,1644772871,35,42.097,-79.2353,21.29,8.05
139,Vestmannaeyjar,20,IS,1644773048,80,63.4427,-20.2734,32.99,28.77
140,Flagstaff,0,US,1644773048,16,35.1981,-111.6513,53.01,3.44
141,Shingū,100,JP,1644773048,88,33.7333,135.9833,45.91,4.05
142,Kutum,40,SD,1644773049,9,14.2,24.6667,71.11,10.38
143,Amurzet,57,RU,1644773049,97,47.6967,131.0981,-9.27,4.83
144,Laas,2,IT,1644773049,62,46.6166,10.7002,33.37,2.35
145,Bani Walid,13,LY,1644773050,47,31.7566,13.9942,59.56,7.96
146,Hervey Bay,6,AU,1644773050,76,-25.2986,152.8535,68.11,16.67
147,Korla,0,CN,1644773050,44,41.7597,86.1469,30.4,3.89
148,Narasannapeta,6,IN,1644773051,54,18.4167,84.05,67.78,3.4
149,Bluff,16,NZ,1644773051,88,-46.6,168.3333,42.8,4.85
150,Tuatapere,13,NZ,1644773051,94,-46.1333,167.6833,42.82,4.36
151,Castro,11,BR,1644773052,51,-24.7911,-50.0119,80.26,5.28
152,Beringovskiy,14,RU,1644773052,98,63.05,179.3167,-27.49,6.46
153,Pimenta Bueno,100,BR,1644773053,92,-11.6725,-61.1936,75.51,3.36
154,Chumikan,100,RU,1644773053,93,54.7183,135.315,-10.25,3.42
155,Tasiilaq,100,GL,1644772879,72,65.6145,-37.6368,12.36,6.02
156,Barcelona,40,ES,1644773037,80,41.3888,2.159,57.61,12.66
157,Basoko,62,CD,1644773053,33,1.2391,23.616,86.14,3.76
158,Saint-Philippe,47,RE,1644773054,87,-21.3585,55.7679,80.19,9.17
159,Nikolskoye,100,RU,1644773054,90,59.7035,30.7861,33.87,12.91
160,Bondoukou,40,CI,1644773054,33,8.0333,-2.8,89.98,7.14
161,Qaanaaq,100,GL,1644773055,92,77.484,-69.3632,-7.24,3.18
162,Eureka,75,US,1644773055,67,40.8021,-124.1637,51.19,2.06
163,Ondjiva,99,AO,1644773056,68,-17.0667,15.7333,74.08,1.72
164,Ola,31,RU,1644773056,80,59.5833,151.2833,-10.43,9.15
165,Sur,0,OM,1644773056,67,22.5667,59.5289,73.11,2.8
166,Pitiquito,35,MX,1644773057,14,30.7,-112.0833,70.39,7.31
167,Ponta do Sol,61,PT,1644773057,68,32.6667,-17.1,66.13,2.04
168,Fortuna,0,US,1644773057,81,40.5982,-124.1573,50.92,6.91
169,Bandarbeyla,39,SO,1644773058,63,9.4942,50.8122,76.14,18.72
170,Idenao,77,CM,1644773058,80,4.2475,9.0047,82.33,10.09
171,Aberdeen,20,GB,1644772896,92,57.1437,-2.0981,44.49,4.61
172,Kruisfontein,31,ZA,1644773059,72,-34.0033,24.7314,70.18,11.56
173,Yellowknife,75,CA,1644773059,71,62.456,-114.3525,-19.59,3.44
174,Dabakala,8,CI,1644773059,12,8.3667,-4.4333,97.21,3.71
175,Avarua,40,CK,1644773059,94,-21.2078,-159.775,75.25,3.44
176,Havelock,100,US,1644772773,91,34.8791,-76.9013,48.18,14.97
177,Ferkessédougou,10,CI,1644773060,7,9.6,-5.2,96.44,4.36
178,Lima,0,PE,1644772280,62,-12.0432,-77.0282,81.9,7.0
179,Vardø,0,NO,1644773060,63,70.3705,31.1107,24.78,14.97
180,Saskylakh,50,RU,1644773061,84,71.9167,114.0833,-15.36,3.44
181,Campbell River,75,CA,1644773061,100,50.0163,-125.2446,38.26,0.0
182,Port Hedland,75,AU,1644773061,79,-20.3167,118.5667,84.25,5.75
183,Buala,76,SB,1644773062,81,-8.145,159.5921,78.84,3.04
184,Tommerup,100,DK,1644773062,71,55.3195,10.2066,40.86,16.2
185,Kvitok,24,RU,1644773063,99,56.0724,98.4813,-15.72,4.29
186,Tsuruoka,100,JP,1644773063,81,38.7217,139.8217,31.66,2.71
187,Uvalde,0,US,1644773063,20,29.3669,-99.767,59.18,8.05
188,Qaqortoq,100,GL,1644772939,88,60.7167,-46.0333,27.1,13.87
189,Cananéia,5,BR,1644773064,55,-25.0147,-47.9267,83.07,9.08
190,Nālūt,39,LY,1644773064,19,30.3333,10.85,62.8,11.41
191,Hīt,0,IQ,1644773064,34,33.6416,42.8251,59.95,9.17
192,São João da Barra,71,BR,1644773065,78,-21.6403,-41.0511,84.29,6.89
193,Coyhaique,0,CL,1644773065,32,-45.5752,-72.0662,81.21,10.36
194,Vila Velha,40,BR,1644773065,55,-20.3297,-40.2925,89.55,11.5
195,Atar,66,MR,1644773066,11,20.5169,-13.0499,82.11,12.28
196,Minas Novas,37,BR,1644773066,65,-17.2186,-42.5903,82.27,2.48
197,Sørland,100,NO,1644773066,58,67.667,12.6934,33.66,27.02
198,Podosinovets,91,RU,1644773067,98,60.2776,47.0659,9.63,3.33
199,Kununurra,73,AU,1644773067,83,-15.7667,128.7333,80.58,6.91
200,Daru,18,PG,1644773067,77,-9.0763,143.2092,79.45,10.0
201,Torbay,75,CA,1644773067,69,47.6666,-52.7314,46.89,26.46
202,Kibala,0,TD,1644773068,20,9.1104,18.3463,93.15,0.0
203,Laguna,0,US,1644773066,72,38.421,-121.4238,68.97,4.61
204,Norman Wells,75,CA,1644773068,69,65.282,-126.8329,-16.56,4.61
205,Lomovka,98,RU,1644773068,99,53.9194,58.3672,14.92,2.75
206,Ucluelet,62,CA,1644773069,62,48.9329,-125.5528,37.71,6.26
207,Mahébourg,75,MU,1644773069,89,-20.4081,57.7,82.26,11.5
208,Nome,0,US,1644773069,69,64.5011,-165.4064,-16.53,0.0
209,Port Elizabeth,100,ZA,1644772823,83,-33.918,25.5701,70.09,12.66
210,Quelimane,75,MZ,1644773070,94,-17.8786,36.8883,76.95,6.91
211,Châteauroux,0,FR,1644773070,54,46.8167,1.7,57.2,17.27
212,Bathsheba,40,BB,1644772956,57,13.2167,-59.5167,83.01,21.85
213,Saint-Pierre,20,RE,1644773071,83,-21.3393,55.4781,80.28,19.57
214,Takahashi,100,JP,1644773071,96,34.7833,133.6167,37.06,1.01
215,Karasjok,100,NO,1644773071,95,69.4719,25.5112,12.31,13.62
216,Iquique,89,CL,1644772970,67,-20.2208,-70.1431,73.44,9.15
217,Khotynets,23,RU,1644773072,92,53.1286,35.3966,21.45,10.29
218,Labuhan,99,ID,1644773072,85,-6.8844,112.2051,78.08,0.98
219,Windsor,100,CA,1644772800,73,42.3001,-83.0165,22.05,4.61
220,Basco,46,PH,1644773072,79,20.4487,121.9702,77.67,17.38
221,Sibut,60,CF,1644773073,17,5.718,19.0739,89.51,3.38
222,Kot Diji,0,PK,1644773073,20,27.3427,68.7083,66.22,1.92
223,Severo-Kuril'sk,37,RU,1644773073,70,50.6789,156.125,23.09,10.18
224,Kelo,21,TD,1644772778,10,9.3086,15.8066,88.95,5.1
225,Roebourne,23,AU,1644773074,65,-20.7833,117.1333,85.48,13.87
226,Sioux Lookout,20,CA,1644772882,70,50.1001,-91.917,-10.82,4.61
227,Kismayo,77,SO,1644773074,80,-0.3582,42.5454,77.59,13.65
228,Tornio,100,FI,1644773075,98,65.8481,24.1466,28.42,11.79
229,Olafsvik,79,IS,1644773075,70,64.8945,-23.7142,27.01,4.43
230,Mānsa,0,IN,1644773075,64,29.9833,75.3833,53.76,7.18
231,Carnarvon,20,AU,1644773076,83,-24.8667,113.6333,78.87,4.61
232,Paciran,100,ID,1644773076,85,-6.8767,112.3761,78.1,1.39
233,Kysyl-Syr,98,RU,1644773076,100,63.8986,122.7617,-25.37,0.83
234,Boden,100,SE,1644772806,98,65.8252,21.6886,28.4,0.85
235,Pangnirtung,0,CA,1644773077,76,66.1451,-65.7125,-23.8,3.44
236,Karaton,100,ID,1644773077,87,-6.3424,106.1045,75.36,2.3
237,Santa Vitória do Palmar,10,BR,1644773077,37,-33.5189,-53.3681,73.36,13.0
238,Verkhnevilyuysk,98,RU,1644773078,100,63.4453,120.3167,-18.4,1.72
239,San Policarpo,49,PH,1644773078,81,12.1791,125.5072,78.33,15.01
240,Guerrero Negro,82,MX,1644773078,32,27.9769,-114.0611,71.82,2.91
241,Yantal',36,RU,1644773079,100,56.8471,105.2542,-26.32,3.29
242,Gutiérrez,96,CO,1644773079,60,4.2547,-74.0025,69.6,7.34
243,Myre,100,NO,1644773079,69,69.1036,15.9492,31.95,32.48
244,Chake Chake,100,TZ,1644773080,79,-5.2459,39.7666,78.58,9.71
245,Saint Anthony,0,US,1644773080,60,45.0205,-93.218,5.67,4.61
246,Alofi,100,NU,1644773080,94,-19.0595,-169.9187,73.29,4.61
247,Nantucket,100,US,1644773081,80,41.2835,-70.0995,37.51,16.11
248,De Aar,91,ZA,1644773081,35,-30.6497,24.0123,81.23,17.22
249,Tautira,97,PF,1644773081,77,-17.7333,-149.15,78.82,16.71
250,Tebingtinggi,59,ID,1644773081,95,3.3285,99.1625,78.85,3.11
251,Dandong,100,CN,1644773082,64,40.1292,124.3947,29.68,4.83
252,Lufkin,0,US,1644773082,37,31.3382,-94.7291,46.83,5.75
253,Bykovo,0,RU,1644773082,74,55.6361,38.0803,30.81,4.47
254,Coquimbo,0,CL,1644773083,56,-29.9533,-71.3436,73.13,12.66
255,Dikson,100,RU,1644773083,87,73.5069,80.5464,-3.77,27.02
256,Itacoatiara,99,BR,1644773083,71,-3.1431,-58.4442,84.34,3.56
257,Iquitos,75,PE,1644773084,70,-3.7481,-73.2472,84.24,2.3
258,Baykit,87,RU,1644773084,100,61.67,96.37,-13.59,3.53
259,Humberto de Campos,47,BR,1644773084,58,-2.5983,-43.4611,87.67,11.25
260,Praia,0,CV,1644773085,53,14.9215,-23.5087,79.34,20.71
261,Bignona,12,SN,1644773085,6,12.8103,-16.2264,96.84,7.34
262,Isangel,86,VU,1644773085,89,-19.55,169.2667,78.42,5.88
263,Shintomi,100,JP,1644773086,89,32.0785,131.4723,48.7,4.92
264,Esperance,0,AU,1644773086,72,-33.8667,121.9,58.84,13.06
265,Riihimäki,100,FI,1644773086,97,60.7377,24.7773,34.72,11.23
266,Lavrentiya,23,RU,1644773087,93,65.5833,-171.0,-20.54,3.29
267,San Vicente,16,AR,1644773087,29,-26.6167,-54.1333,91.8,6.46
268,Bud,28,US,1644773087,60,39.447,-86.1758,24.75,7.54
269,Acaraú,85,BR,1644773088,63,-2.8856,-40.12,85.91,15.99
270,Hong Kong,100,HK,1644773009,89,22.2855,114.1577,60.24,5.99
271,Harper,93,LR,1644773088,69,4.375,-7.7169,81.59,6.73
272,Deer Lake,75,CA,1644773088,68,49.1667,-57.4316,22.86,20.71
273,Bentiu,26,SS,1644773089,13,9.2333,29.8333,87.46,5.59
274,Kalmunai,100,LK,1644772858,91,7.4167,81.8167,74.23,5.59
275,Alekseyevka,7,RU,1644773089,92,50.6309,38.6903,20.21,7.81
276,Līsakovsk,100,KZ,1644773089,96,52.5369,62.4936,16.56,6.51
277,Damietta,47,EG,1644773090,70,31.4165,31.8133,58.89,11.9
278,Ostrovnoy,36,RU,1644773090,79,68.0531,39.5131,11.86,13.31
279,Tilichiki,21,RU,1644773090,92,60.4667,166.1,-18.87,9.64
280,Lompoc,0,US,1644773091,32,34.6391,-120.4579,79.09,11.5
281,Leningradskiy,96,RU,1644773091,95,69.3833,178.4167,-18.69,5.59
282,Yar-Sale,100,RU,1644773091,94,66.8333,70.8333,-7.1,9.57
283,Muskegon,75,US,1644773092,59,43.3,-86.1334,20.82,10.36
284,Tiznit Province,1,MA,1644773092,45,29.5833,-9.5,63.75,11.21
285,Lubango,20,AO,1644773092,18,-14.9172,13.4925,80.46,9.22
286,Dunda,85,TZ,1644773092,90,-8.1167,34.25,66.7,2.57
287,Eyemouth,100,GB,1644773093,93,55.8713,-2.0901,45.82,9.48
288,Buraidah,0,SA,1644773093,23,26.326,43.975,59.45,7.05
289,Miguel Hidalgo,40,MX,1644773093,50,19.4225,-99.2028,65.43,4.61
290,Honiara,96,SB,1644773094,86,-9.4333,159.95,78.13,2.89
291,Sitka,100,US,1644773094,80,57.0531,-135.33,35.49,0.0
292,Pevek,100,RU,1644773094,98,69.7008,170.3133,-18.4,8.75
293,Yangi Marg`ilon,75,UZ,1644773095,87,40.4272,71.7189,39.92,0.0
294,Vrangel',22,RU,1644773095,58,42.7297,133.0839,15.87,8.95
295,Istanbul,75,TR,1644772986,81,41.0351,28.9833,45.07,12.66
296,Haines Junction,100,CA,1644773095,85,60.7522,-137.5108,3.15,2.3
297,Meulaboh,70,ID,1644773096,88,4.1363,96.1285,76.95,3.4
298,Måløy,100,NO,1644773096,94,61.9353,5.1136,41.74,7.0
299,Tavares,20,US,1644773096,83,28.8042,-81.7256,71.35,6.91
300,Toba,100,JP,1644773097,89,34.4833,136.85,44.6,5.99
301,Tokmak,0,UA,1644773097,51,47.2514,35.7058,34.88,5.57
302,Mayo,100,US,1644773097,85,38.8876,-76.5119,36.41,13.8
303,Goderich,91,CA,1644773098,85,43.7501,-81.7165,18.91,5.75
304,Lemon Tree Passage,34,AU,1644773098,74,-32.7327,152.036,65.77,7.29
305,Nampula,75,MZ,1644773098,44,-15.1165,39.2666,76.95,9.22
306,Härnösand,95,SE,1644773098,87,62.6323,17.9379,33.8,12.64
307,Omboué,93,GA,1644773099,76,-1.5746,9.2618,80.6,6.17
308,Chapais,95,CA,1644773099,83,49.7834,-74.8492,-9.62,3.42
309,Uribia,28,CO,1644773099,38,11.7139,-72.266,89.08,25.55
310,Tual,76,ID,1644772878,77,-5.6667,132.75,80.65,7.4
311,Araouane,63,ML,1644773100,12,18.9048,-3.5265,76.96,14.05
312,Ambon City,40,ID,1644773100,94,-3.6954,128.1814,75.34,6.91
313,Mahbūbābād,0,IN,1644773101,31,17.6167,80.0167,70.07,4.18
314,Manzhouli,59,CN,1644773101,99,49.6,117.4333,-19.44,4.79
315,Zambezi,56,ZM,1644773101,87,-13.5432,23.1047,68.77,4.16
316,Soc Trang,7,VN,1644773101,85,9.6033,105.98,77.74,9.01
317,Nemuro,100,JP,1644773102,81,43.3236,145.575,26.89,9.93
318,Morón,0,AR,1644773102,35,-34.6534,-58.6198,79.02,8.14
319,Mongoumba,100,CF,1644773103,21,3.6415,18.5936,86.31,2.48
320,Hobe Sound,75,US,1644773103,90,27.0595,-80.1364,69.01,4.61
321,Talnakh,12,RU,1644773103,69,69.4865,88.3972,-7.47,9.13
322,Dingle,90,PH,1644773104,92,10.9995,122.6711,74.86,6.64
323,Byron Bay,72,AU,1644772895,86,-28.65,153.6167,68.88,7.58
324,Avera,100,US,1644773104,46,33.194,-82.5271,55.06,12.84
325,Geraldton,100,AU,1644773104,88,-28.7667,114.6,74.12,6.91
326,Hofn,6,IS,1644773105,57,64.2539,-15.2082,22.96,8.9
327,Dzilam González,95,MX,1644773105,65,21.2833,-88.9333,76.46,10.22
328,Koubia,1,GN,1644773105,8,11.5833,-11.9,89.51,3.74
329,Monticello,0,US,1644773001,66,45.3055,-93.7941,4.91,4.61
330,Kütahya,100,TR,1644773106,84,39.4242,29.9833,35.55,3.6
331,Namatanai,100,PG,1644773106,83,-3.6667,152.4333,78.4,4.12
332,Olden,100,NO,1644773107,98,61.8364,6.8064,43.16,8.75
333,Pochutla,59,MX,1644772953,39,15.7432,-96.4661,91.81,6.93
334,Ranau,100,MY,1644773107,97,5.9538,116.6641,70.45,1.16
335,Luxor,0,EG,1644773107,28,25.6989,32.6421,68.05,4.61
336,Kodinsk,37,RU,1644772833,100,58.6881,99.1844,-18.94,3.09
337,Plattsburgh,0,US,1644773044,61,44.6995,-73.4529,19.22,5.75
338,Sola,98,VU,1644773108,77,-13.8833,167.55,81.41,13.65
339,Pecos,0,US,1644773108,34,31.4229,-103.4932,52.3,0.0
340,Bantry,71,IE,1644773109,76,51.6833,-9.45,46.35,14.81
341,Drabiv,12,UA,1644773109,61,49.963,32.1529,30.51,7.16
342,Rawson,11,AR,1644773031,22,-43.3002,-65.1023,86.95,17.45
343,Astoria,0,US,1644773109,88,46.1879,-123.8313,51.85,8.01
344,Yārāda,20,IN,1644773110,73,17.65,83.2667,71.92,2.3
345,Santa Cruz de la Sierra,75,BO,1644773110,50,-17.8,-63.1667,81.86,18.41
346,Dobryanka,99,RU,1644773110,100,58.4619,56.4165,22.86,1.92
347,Pisco,0,PE,1644773111,64,-13.7,-76.2167,75.25,8.05
348,Kulhudhuffushi,100,MV,1644773111,73,6.6221,73.07,81.09,9.98
349,Merauke,7,ID,1644773111,81,-8.4667,140.3333,78.64,10.6
350,Conde,40,BR,1644773112,62,-7.2597,-34.9075,87.26,12.66
351,Gunjur,19,GM,1644773112,17,13.2019,-16.7339,93.27,9.22
352,Vao,100,NC,1644773112,83,-22.6667,167.4833,79.41,7.61
353,Along,0,IN,1644773113,61,28.1667,94.7667,46.42,2.19
354,Eséka,100,CM,1644773113,59,3.65,10.7667,84.85,9.06
355,Kuzino,100,RU,1644773114,96,57.0224,59.4412,21.42,4.56
356,Bač,37,RS,1644773114,69,45.3919,19.2367,40.93,5.01
